
#Measurement at Mon Apr 13 14:41:17 2015
#ID: 1428928877
#Counter	numDisp	windowSize	Disparity	Laser
0	160	9	0.583821	0.59
1	160	9	1.190995	1.20
2	160	17	1.770650	1.80
3	160	17	2.357178	2.39
4	160	17	2.931206	3.00
5	160	17	3.569229	3.61
6	160	17	4.190540	4.21
7	160	17	4.714357	4.80
